Filename,Formula,Notes,Num Elements,1a CsCl,1b CsCl
,,,,0.000 0.000 0.000 ,0.500 0.500 0.500 
457710.cif,ZnZr,,2,Zn,Zr
250288.cif,YbZn,,2,Yb,Zn
530672.cif,YbZn,,2,Zn,Yb
452185.cif,YbZn,,2,Yb,Zn
457315.cif,YZn,lt,2,Y,Zn
456075.cif,YZn,lt,2,Y,Zn
311773.cif,YZn,lt,2,Y,Zn
251949.cif,YZn,lt,2,Y,Zn
530801.cif,YZn,lt,2,Zn,Y
526142.cif,YZn,lt,2,Y,Zn
456305.cif,YZn,lt,2,Y,Zn
1412244.cif,YZn,lt,2,Y,Zn
456923.cif,TmZn,rt,2,Tm,Zn
530793.cif,TmZn,rt,2,Zn,Tm
250287.cif,TmZn,rt,2,Tm,Zn
250313.cif,TlYb,,2,Tl,Yb
530674.cif,TlYb,,2,Tl,Yb
251962.cif,TlY,ht,2,Tl,Y
250311.cif,TlTm,,2,Tl,Tm
451531.cif,TlTm,,2,Tm,Tl
1301602.cif,TiZn,,2,Zn,Ti
531020.cif,TeU,hp,2,U,Te
1822181.cif,TeTh0.80U0.20,,3,Th0.8U0.2,Te
1720200.cif,TeTh,hp,2,Th,Te
251917.cif,TeTh,hp,2,Th,Te
1921258.cif,TeTh,hp,2,Th,Te
531016.cif,TeTh,hp,2,Th,Te
527384.cif,TeTh,hp,2,Th,Te
453377.cif,TeTh,hp,2,Th,Te
530404.cif,TcV,,2,Tc,V
250079.cif,TcV,,2,Tc,V
250073.cif,TcTi,rt,2,Ti,Tc
456369.cif,TbZn,rt,2,Tb,Zn
250283.cif,TbZn,rt,2,Tb,Zn
1818666.cif,TbZn,rt,2,Tb,Zn
526141.cif,TbZn,rt,2,Tb,Zn
1710952.cif,TbZn,rt,2,Tb,Zn
454733.cif,TbZn,rt,2,Tb,Zn
530797.cif,TbZn,rt,2,Zn,Tb
456245.cif,TbZn,rt,2,Tb,Zn
528000.cif,TbZn,rt,2,Tb,Zn
315023.cif,TbZn,rt,2,Tb,Zn
526140.cif,TbZn,rt,2,Tb,Zn
528005.cif,TbZn,rt,2,Tb,Zn
1301119.cif,TbTl,rt,2,Tb,Tl
250308.cif,TbTl,rt,2,Tb,Tl
250082.cif,TaTc,,2,Ta,Tc
529480.cif,SrTl,,2,Sr,Tl
458263.cif,SrTl,,2,Sr,Tl
533919.cif,SrTe,hp,2,Sr,Te
527474.cif,SnTe,hp2,2,Sn,Te
456665.cif,SnTe,hp2,2,Sn,Te
1638470.cif,SnTe,hp2,2,Sn,Te
251897.cif,SmZn,,2,Sm,Zn
530799.cif,SmZn,,2,Zn,Sm
1241577.cif,SmZn,,2,Sm,Zn
1301117.cif,SmTl,rt,2,Sm,Tl
534741.cif,SmTl,rt,2,Sm,Tl
1232362.cif,SmTe,hp,2,Sm,Te
457649.cif,SmTe,hp,2,Sm,Te
456414.cif,SmTe,hp,2,Sm,Te
533553.cif,SeTl,hp,2,Se,Tl
453378.cif,SeTh,hp,2,Th,Se
531018.cif,SeTh,hp,2,Th,Se
