Filename,Formula,Notes,Num Elements,1a CuTi-tP2,1d CuTi-tP2
,,,,0.000 0.000 0.000 ,0.500 0.500 0.500 
528007.cif,TbZn,lt1,2,Tb,Zn
526146.cif,TbZn,lt1,2,Tb,Zn
1301129.cif,TbTl,lt,2,Tb,Tl
534124.cif,Ru0.98V1.02,rt,2,Ru0.98V0.02,V
261401.cif,RuV,rt,2,Ru,V
457031.cif,RuV,rt,2,V,Ru
450611.cif,RuV,rt,2,Ru,V
261451.cif,Ru0.80Ta1.20,ht1,2,Ru0.8Ta0.2,Ta
1301181.cif,Ru0.89Ta1.11,ht1,2,Ta,Ru0.892Ta0.108
260929.cif,RuTa,ht1,2,Ru,Ta
457033.cif,RuTa,ht1,2,Ta,Ru
453905.cif,RuTa,ht1,2,Ru,Ta
262072.cif,RhTi,ht1,2,Ti,Rh
528895.cif,RhTi,ht1,2,Ti,Rh
260797.cif,RhTi,ht1,2,Rh,Ti
262071.cif,Rh1.14Ti0.86,ht1,2,Rh,Ti0.86Rh0.14
1235219.cif,RhSc0.33Ti0.67,,3,Rh,Ti0.666Sc0.334
1235052.cif,RhSc0.33Ti0.67,,3,Rh,Ti0.666Sc0.334
311235.cif,PrZn,lt,2,Pr,Zn
533707.cif,PrZn,lt,2,Pr,Zn
1301125.cif,PrTl,lt,2,Pr,Tl
1627357.cif,PrSb,hp,2,Pr,Sb
1625165.cif,PrSb,hp,2,Pr,Sb
533021.cif,PdZn,rt,2,Pd,Zn
1826117.cif,PdZn,rt,2,Pd,Zn
533011.cif,PdZn,rt,2,Pd,Zn
1936263.cif,PdZn,rt,2,Pd,Zn
450636.cif,PdZn,rt,2,Pd,Zn
1718233.cif,PdZn,rt,2,Pd0.96Zn0.04,Zn0.96Pd0.04
1718232.cif,PdZn,rt,2,Pd0.96Zn0.04,Zn0.96Pd0.04
531944.cif,NiZn,rt,2,Ni,Zn
1826119.cif,NiZn,rt,2,Ni,Zn
1231486.cif,NiZn,rt,2,Ni,Zn
455348.cif,NiZn,rt,2,Ni,Zn
1934634.cif,Ni1.01Zn0.99,rt,2,Ni,Zn0.99Ni0.01
1605505.cif,NiSi,hp2,2,Ni,Si
1605501.cif,NiSi,hp2,2,Ni,Si
1605494.cif,NiSi,hp2,2,Ni,Si
311237.cif,NdZn,lt2,2,Zn,Nd
