Filename,Formula,Notes,Num Elements,2a
,,,,0.000 0.000 0.000 
1962710.cif,Zr,ht/hp2,1,Zr
1939601.cif,Zr,ht/hp2,1,Zr
1254095.cif,Zr,ht/hp2,1,Zr
1254051.cif,Zr,ht/hp2,1,Zr
558463.cif,Zr,ht/hp2,1,Zr
1622137.cif,Zr,ht/hp2,1,Zr
1010364.cif,Zr,ht/hp2,1,Zr
458095.cif,Zr,ht/hp2,1,Zr
304947.cif,Zr,ht/hp2,1,Zr
534914.cif,Zr,ht/hp2,1,Zr
535086.cif,Zr,ht/hp2,1,Zr
1215046.cif,Yb,ht/hp1,1,Yb
1012737.cif,Yb,ht/hp1,1,Yb
530373.cif,W0.35Zr0.65,ht,2,Zr0.65W0.35
260127.cif,W0.67Zr0.33,ht,2,W0.67Zr0.33
450264.cif,W0.67Zr0.33,ht,2,W0.67Zr0.33
1826698.cif,W0.93Zr0.07,,2,W0.928Zr0.072
530398.cif,W0.97Zr0.03,,2,W0.97Zr0.03
1928764.cif,W0.97Zr0.03,,2,W0.97Zr0.03
1966020.cif,W,,1,W
1946719.cif,W,,1,W
1020367.cif,W,,1,W
1140424.cif,W,,1,W
311500.cif,W,,1,W
1724776.cif,W,,1,W
1140136.cif,W,,1,W
456673.cif,W,,1,W
450052.cif,W,,1,W
1013980.cif,W,,1,W
455146.cif,W,,1,W
1622756.cif,W,,1,W
311771.cif,W,,1,W
1928811.cif,W,,1,W
530397.cif,W,,1,W
1928681.cif,W,,1,W
1928788.cif,W,,1,W
1928809.cif,W,,1,W
1928763.cif,W,,1,W
452225.cif,W,,1,W
250711.cif,W,,1,W
250696.cif,W,,1,W
457528.cif,W,,1,W
250501.cif,W,,1,W
250387.cif,W,,1,W
456242.cif,W,,1,W
250184.cif,W,,1,W
1826695.cif,W,,1,W
533316.cif,W,,1,W
452077.cif,W,,1,W
533333.cif,W,,1,W
261439.cif,W,,1,W
529738.cif,W,,1,W
1012696.cif,W,,1,W
1030356.cif,W,,1,W
532795.cif,W,,1,W
532814.cif,W,,1,W
527212.cif,W,,1,W
305025.cif,W,,1,W
1500921.cif,W,,1,W
1040278.cif,W,,1,W
534316.cif,W,,1,W
456888.cif,W,,1,W
261171.cif,W,,1,W
1251933.cif,W,,1,W
1715409.cif,W,,1,W
1324327.cif,W,,1,W
1221477.cif,W,,1,W
1602684.cif,W,,1,W
1715095.cif,W,,1,W
533458.cif,V0.95Zr0.05,,2,V0.95Zr0.05
533455.cif,V0.99Zr0.01,,2,V0.99Zr0.01
1928786.cif,V0.50W0.50,,2,V0.5W0.5
457527.cif,V0.50W0.50,,2,V0.5W0.5
532794.cif,V0.50W0.50,,2,V0.5W0.5
457526.cif,V0.70W0.30,,2,V0.7W0.3
1056647.cif,V,,1,V
1956688.cif,V,,1,V
1945650.cif,V,,1,V
1945647.cif,V,,1,V
1941295.cif,V,,1,V
1823251.cif,V,,1,V
1928175.cif,V,,1,V
1927847.cif,V,,1,V
1923900.cif,V,,1,V
1923884.cif,V,,1,V
1230094.cif,V,,1,V
1921582.cif,V,,1,V
1827341.cif,V,,1,V
1611796.cif,V,,1,V
1030502.cif,V,,1,V
529789.cif,V,,1,V
260529.cif,V,,1,V
533453.cif,V,,1,V
383015.cif,V,,1,V
457165.cif,V,,1,V
454319.cif,V,,1,V
1214005.cif,V,,1,V
534814.cif,V,,1,V
531949.cif,V,,1,V
1824836.cif,V,,1,V
1725973.cif,V,,1,V
532078.cif,V,,1,V
1928778.cif,V,,1,V
1928784.cif,V,,1,V
1928783.cif,V,,1,V
1928787.cif,V,,1,V
1928726.cif,V,,1,V
1928777.cif,V,,1,V
530401.cif,V,,1,V
532142.cif,V,,1,V
250744.cif,V,,1,V
531602.cif,V,,1,V
457529.cif,V,,1,V
549918.cif,V,,1,V
250181.cif,V,,1,V
452084.cif,V,,1,V
533814.cif,V,,1,V
305096.cif,V,,1,V
261438.cif,V,,1,V
532796.cif,V,,1,V
534167.cif,V,,1,V
1501062.cif,V,,1,V
533379.cif,V,,1,V
1605138.cif,V,,1,V
534995.cif,V,,1,V
535005.cif,V,,1,V
456808.cif,V,,1,V
456857.cif,V,,1,V
535022.cif,V,,1,V
535016.cif,V,,1,V
1011120.cif,U0.30Zr0.70,ht,2,Zr0.7U0.3
535077.cif,U0.30Zr0.70,ht,2,Zr0.7U0.3
1831460.cif,U0.33Zr0.67,ht,2,Zr0.669U0.331
456670.cif,U0.50Zr0.50,ht,2,U0.5Zr0.5
1835352.cif,U0.78Zr0.22,ht,2,U0.78Zr0.22
1435161.cif,U0.85Zr0.15,ht,2,U0.85Zr0.15
1965949.cif,U0.90V0.10,ht2,2,U0.9V0.1
1602711.cif,U,ht2,1,U
252194.cif,U,ht2,1,U
458711.cif,U,ht2,1,U
1500468.cif,U,ht2,1,U
527162.cif,Tm,stab,1,Tm
1949147.cif,Tl,ht,1,Tl
1701025.cif,Tl,ht,1,Tl
1604539.cif,Ti0.50Zr0.50,ht,2,Ti0.5Zr0.5
1010368.cif,Ti0.50Zr0.50,ht,2,Ti0.5Zr0.5
456790.cif,Ti0.50Zr0.50,ht,2,Ti0.5Zr0.5
534325.cif,Ti0.50Zr0.50,ht,2,Ti0.5Zr0.5
1635714.cif,Ti0.89Zr0.11,ht,2,Ti0.89Zr0.11
460833.cif,Ti0.17W0.67Zr0.16,,3,W0.67Ti0.17Zr0.16
1709299.cif,Ti0.58W0.32Zr0.11,,3,Ti0.577W0.316Zr0.107
1607484.cif,Ti0W0.99Y0,,3,W0.994Ti0.004Y0.002
452226.cif,Ti0.50W0.50,ht,2,Ti0.5W0.5
1928682.cif,Ti0.90W0.10,ht,2,Ti0.9W0.1
1030509.cif,Ti0.91W0.09,ht,2,Ti0.91W0.09
1030515.cif,Ti0.43V0.44W0.13,,3,V0.44Ti0.43W0.13
533452.cif,Ti0.01V0.99,,2,V0.99Ti0.01
533456.cif,Ti0.05V0.95,,2,V0.95Ti0.05
1611797.cif,Ti0.10V0.90,,2,V0.9Ti0.1
1721005.cif,Ti0.20V0.80,,2,V0.8Ti0.2
1010840.cif,Ti0.20V0.80,,2,V0.8Ti0.2
1957548.cif,Ti0.25V0.75,,2,V0.75Ti0.25
1825356.cif,Ti0.35V0.65,,2,V0.65Ti0.35
1055754.cif,Ti0.50V0.50,,2,Ti0.5V0.5
1030503.cif,Ti0.50V0.50,,2,Ti0.5V0.5
534792.cif,Ti0.50V0.50,,2,Ti0.5V0.5
453060.cif,Ti0.50V0.50,,2,Ti0.5V0.5
457164.cif,Ti0.50V0.50,,2,Ti0.5V0.5
455156.cif,Ti0.50V0.50,,2,Ti0.5V0.5
535015.cif,Ti0.50V0.50,,2,Ti0.5V0.5
456856.cif,Ti0.50V0.50,,2,Ti0.5V0.5
1941182.cif,Ti0.60V0.40,,2,Ti0.6V0.4
1721004.cif,Ti0.60V0.40,,2,Ti0.6V0.4
1928727.cif,Ti0.80V0.20,,2,Ti0.8V0.2
458710.cif,Ti0.50U0.50,ht,2,Ti0.5U0.5
1831465.cif,Ti,ht,1,Ti
1830544.cif,Ti,ht,1,Ti
1030501.cif,Ti,ht,1,Ti
1622135.cif,Ti,ht,1,Ti
1010365.cif,Ti,ht,1,Ti
1925942.cif,Ti,ht,1,Ti
458712.cif,Ti,ht,1,Ti
458738.cif,Ti,ht,1,Ti
456849.cif,Ti,ht,1,Ti
534323.cif,Ti,ht,1,Ti
1625259.cif,Ti,ht,1,Ti
450377.cif,Th0.25Zr0.75,ht,2,Zr0.75Th0.25
450481.cif,Th0.30Zr0.70,ht,2,Zr0.7Th0.3
304945.cif,Th0.50Zr0.50,ht,2,Th0.5Zr0.5
534913.cif,Th0.50Zr0.50,ht,2,Th0.5Zr0.5
534906.cif,Th0.53Y0.47,ht,2,Th0.53Y0.47
534907.cif,Th,ht,1,Th
304946.cif,Th,ht,1,Th
